Start	End	Type	Weight
54331	5291	1	2
54331	5293	1	2
54331	5295	1	2
54331	5296	1	2
54331	8503	1	2
55970	5290	1	2
55970	5291	1	2
55970	5293	1	2
55970	5295	1	2
55970	5296	1	2
55970	8503	1	2
59345	5290	1	2
59345	5291	1	2
59345	5293	1	2
59345	5295	1	2
59345	5296	1	2
59345	8503	1	2
94235	5290	1	2
94235	5291	1	2
94235	5293	1	2
94235	5295	1	2
94235	5296	1	2
94235	8503	1	2
2767	2776	0	1
23236	5330	0	1
23236	5331	0	1
23236	5332	0	1
5330	5331	0	1
5330	5332	0	1
5331	5332	0	1
2767	23236	1	2
2767	5330	1	2
2767	5331	1	2
2767	5332	1	2
2776	23236	1	2
2776	5330	1	2
2776	5331	1	2
2776	5332	1	2
10672	2768	0	1
11214	23365	0	1
11214	9138	0	1
11214	9826	0	1
23365	9138	0	1
23365	9826	0	1
9138	9826	0	1
10672	11214	1	1
10672	23365	1	1
10672	9138	1	1
10672	9826	1	1
2768	11214	1	1
2768	23365	1	1
2768	9138	1	1
2768	9826	1	1
11214	387	1	1
23365	387	1	1
9138	387	1	1
9826	387	1	1
6093	9475	0	1
387	6093	1	1
387	9475	1	1
6093	1499	1	1
9475	1499	1	1
5731	5732	0	1
5731	5733	0	1
5731	5734	0	1
5732	5733	0	1
5732	5734	0	1
5733	5734	0	1
5731	2778	1	1
5732	2778	1	1
5733	2778	1	1
5734	2778	1	1
107	108	0	1
107	109	0	1
107	111	0	1
107	112	0	1
107	113	0	1
107	114	0	1
107	115	0	1
107	196883	0	1
108	109	0	1
108	111	0	1
108	112	0	1
108	113	0	1
108	114	0	1
108	115	0	1
108	196883	0	1
109	111	0	1
109	112	0	1
109	113	0	1
109	114	0	1
109	115	0	1
109	196883	0	1
111	112	0	1
111	113	0	1
111	114	0	1
111	115	0	1
111	196883	0	1
112	113	0	1
112	114	0	1
112	115	0	1
112	196883	0	1
113	114	0	1
113	115	0	1
113	196883	0	1
114	115	0	1
114	196883	0	1
115	196883	0	1
2778	107	1	2
2778	108	1	2
2778	109	1	2
2778	111	1	2
2778	112	1	2
2778	113	1	2
2778	114	1	2
2778	115	1	2
2778	196883	1	2
2770	2771	0	1
2770	2773	0	1
2770	2775	0	1
2771	2773	0	1
2771	2775	0	1
2773	2775	0	1
5731	2770	1	1
5731	2771	1	1
5731	2773	1	1
5731	2775	1	1
5732	2770	1	1
5732	2771	1	1
5732	2773	1	1
5732	2775	1	1
5733	2770	1	1
5733	2771	1	1
5733	2773	1	1
5733	2775	1	1
5734	2770	1	1
5734	2771	1	1
5734	2773	1	1
5734	2775	1	1
5731	10681	1	1
5731	2782	1	1
5731	2783	1	1
5731	2784	1	1
5731	2785	1	1
5731	2786	1	1
5731	2787	1	1
5731	2788	1	1
5731	2790	1	1
5731	2791	1	1
5731	2792	1	1
5731	2793	1	1
5731	51764	1	1
5731	54331	1	1
5731	55970	1	1
5731	59345	1	1
5731	94235	1	1
5732	10681	1	1
5732	2782	1	1
5732	2783	1	1
5732	2784	1	1
5732	2785	1	1
5732	2786	1	1
5732	2787	1	1
5732	2788	1	1
5732	2790	1	1
5732	2791	1	1
5732	2792	1	1
5732	2793	1	1
5732	51764	1	1
5732	54331	1	1
5732	55970	1	1
5732	59345	1	1
5732	94235	1	1
5733	10681	1	1
5733	2782	1	1
5733	2783	1	1
5733	2784	1	1
5733	2785	1	1
5733	2786	1	1
5733	2787	1	1
5733	2788	1	1
5733	2790	1	1
5733	2791	1	1
5733	2792	1	1
5733	2793	1	1
5733	51764	1	1
5733	54331	1	1
5733	55970	1	1
5733	59345	1	1
5733	94235	1	1
5734	10681	1	1
5734	2782	1	1
5734	2783	1	1
5734	2784	1	1
5734	2785	1	1
5734	2786	1	1
5734	2787	1	1
5734	2788	1	1
5734	2790	1	1
5734	2791	1	1
5734	2792	1	1
5734	2793	1	1
5734	51764	1	1
5734	54331	1	1
5734	55970	1	1
5734	59345	1	1
5734	94235	1	1
3569	3570	1	1
3570	3716	1	1
3716	6774	1	2
10681	23236	1	2
10681	5330	1	2
10681	5331	1	2
10681	5332	1	2
2782	23236	1	2
2782	5330	1	2
2782	5331	1	2
2782	5332	1	2
2783	23236	1	2
2783	5330	1	2
2783	5331	1	2
2783	5332	1	2
2784	23236	1	2
2784	5330	1	2
2784	5331	1	2
2784	5332	1	2
2785	23236	1	2
2785	5330	1	2
2785	5331	1	2
2785	5332	1	2
2786	23236	1	2
2786	5330	1	2
2786	5331	1	2
2786	5332	1	2
2787	23236	1	2
2787	5330	1	2
2787	5331	1	2
2787	5332	1	2
2788	23236	1	2
2788	5330	1	2
2788	5331	1	2
2788	5332	1	2
2790	23236	1	2
2790	5330	1	2
2790	5331	1	2
2790	5332	1	2
2791	23236	1	2
2791	5330	1	2
2791	5331	1	2
2791	5332	1	2
2792	23236	1	2
2792	5330	1	2
2792	5331	1	2
2792	5332	1	2
2793	23236	1	2
2793	5330	1	2
2793	5331	1	2
2793	5332	1	2
51764	23236	1	2
51764	5330	1	2
51764	5331	1	2
51764	5332	1	2
54331	23236	1	2
54331	5330	1	2
54331	5331	1	2
54331	5332	1	2
55970	23236	1	2
55970	5330	1	2
55970	5331	1	2
55970	5332	1	2
59345	23236	1	2
59345	5330	1	2
59345	5331	1	2
59345	5332	1	2
94235	23236	1	2
94235	5330	1	2
94235	5331	1	2
94235	5332	1	2
1432	5600	0	1
1432	5603	0	1
1432	6300	0	1
5600	5603	0	1
5600	6300	0	1
5603	6300	0	1
5608	1432	1	1
5608	5600	1	1
5608	5603	1	1
5608	6300	1	1
6387	7852	1	1
7852	10681	1	1
7852	2782	1	1
7852	2783	1	1
7852	2784	1	1
7852	2785	1	1
7852	2786	1	1
7852	2787	1	1
7852	2788	1	1
7852	2790	1	1
7852	2791	1	1
7852	2792	1	1
7852	2793	1	1
7852	51764	1	1
7852	54331	1	1
7852	55970	1	1
7852	59345	1	1
7852	94235	1	1
5747	1398	0	1
5747	1399	0	1
5747	1398	0	1
5747	1399	0	1
5747	9564	0	1
5747	5829	0	1
1399	9564	0	1
1398	9564	0	1
1399	5829	0	1
1398	5829	0	1
9564	5829	0	1
2185	5747	1	1
2185	1399	1	1
2185	1398	1	1
2185	9564	1	1
2185	5829	1	1
3587	3588	0	1
3587	3716	1	1
3588	3716	1	1
